Age Group,Average Closure Time in Days,Case Closed,City,Closed Cases,Sum of Closure Time (Days),Count of Crime Code,Crime Description,Crime Domain,Date Case Closed,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Day of Week,Distinct Cities,No. of Cases,Sum of Police Deployed,Sum of Report Number,Reported Within 24H,Sum of Reporting Delay (Hours),Time of Occurrence,Time Range,Sum of Victim Age,Victim Gender,Weapon Used
18–29,,No,Agra,,,1,ASSAULT,Violent Crime,,2020,Qtr 2,April,29,2020,Qtr 2,April,30,Wednesday,1,1,13,496,After 24H,46,1899-12-30 14:04:00,Afternoon,25,F,Knife
18–29,,No,Agra,,,1,ASSAULT,Violent Crime,,2023,Qtr 2,May,15,2023,Qtr 2,May,16,Monday,1,1,6,11602,After 24H,25,1899-12-30 16:01:00,Afternoon,24,F,Other
18–29,,No,Agra,,,1,ASSAULT,Violent Crime,,2024,Qtr 1,March,7,2024,Qtr 1,March,7,Thursday,1,1,8,17421,Within 24H,12,1899-12-30 03:09:00,Night,21,F,Explosives
18–29,,No,Agra,,,1,BURGLARY,Other Crime,,2022,Qtr 1,March,7,2022,Qtr 2,May,7,Monday,1,1,13,7200,After 24H,1465,1899-12-30 11:38:00,Morning,18,M,Poison
18–29,,No,Agra,,,1,BURGLARY,Other Crime,,2023,Qtr 2,June,8,2023,Qtr 3,August,8,Thursday,1,1,7,12809,After 24H,1470,1899-12-30 15:58:00,Afternoon,19,F,Firearm
18–29,,No,Agra,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 1,March,31,2020,Qtr 1,January,4,Tuesday,1,1,10,373,Within 24H,-2066,1899-12-30 06:21:00,Morning,20,F,Knife
18–29,,No,Agra,,,1,COUNTERFEITING,Other Crime,,2022,Qtr 3,July,23,2022,Qtr 3,July,25,Saturday,1,1,14,7495,After 24H,53,1899-12-30 14:30:00,Afternoon,23,F,Knife
18–29,,No,Agra,,,1,CYBERCRIME,Other Crime,,2024,Qtr 1,March,30,2024,Qtr 1,March,31,Saturday,1,1,9,16126,After 24H,44,1899-12-30 04:27:00,Night,20,F,Firearm
18–29,,No,Agra,,,1,DOMESTIC VIOLENCE,Violent Crime,,2023,Qtr 1,January,21,2023,Qtr 1,January,22,Saturday,1,1,3,10008,After 24H,38,1899-12-30 20:42:00,Evening,24,F,Knife
18–29,,No,Agra,,,1,DOMESTIC VIOLENCE,Violent Crime,,2024,Qtr 3,July,16,2024,Qtr 3,July,17,Tuesday,1,1,11,17621,After 24H,46,1899-12-30 19:10:00,Evening,23,F,Explosives
18–29,,No,Agra,,,1,DRUG OFFENSE,Other Crime,,2020,Qtr 4,November,10,2020,Qtr 4,November,10,Tuesday,1,1,2,1162,Within 24H,16,1899-12-30 17:59:00,Evening,21,M,None
18–29,,No,Agra,,,1,DRUG OFFENSE,Other Crime,,2021,Qtr 4,October,18,2021,Qtr 4,October,20,Monday,1,1,19,4268,After 24H,70,1899-12-30 17:58:00,Evening,25,F,Knife
18–29,,No,Agra,,,1,DRUG OFFENSE,Other Crime,,2022,Qtr 1,February,22,2022,Qtr 1,February,24,Tuesday,1,1,2,5647,After 24H,54,1899-12-30 16:45:00,Afternoon,27,M,None
18–29,,No,Agra,,,1,EXTORTION,Other Crime,,2022,Qtr 2,April,15,2022,Qtr 2,April,14,Friday,1,1,2,6211,Within 24H,-2,1899-12-30 16:24:00,Afternoon,24,F,Blunt Object
18–29,,No,Agra,,,1,FIREARM OFFENSE,Fire Accident,,2024,Qtr 2,June,5,2024,Qtr 3,July,5,Wednesday,1,1,2,16630,After 24H,723,1899-12-30 00:58:00,Night,26,M,Firearm
18–29,,No,Agra,,,1,FRAUD,Other Crime,,2021,Qtr 4,December,4,2021,Qtr 2,April,14,Saturday,1,1,14,2461,Within 24H,-5594,1899-12-30 02:56:00,Night,23,F,Poison
18–29,,No,Agra,,,1,FRAUD,Other Crime,,2024,Qtr 4,December,1,2024,Qtr 1,January,13,Sunday,1,1,2,15024,Within 24H,-7747,1899-12-30 00:53:00,Night,27,F,Blunt Object
18–29,,No,Agra,,,1,HOMICIDE,Other Crime,,2023,Qtr 3,September,3,2023,Qtr 4,November,3,Sunday,1,1,8,10690,After 24H,1482,1899-12-30 09:36:00,Morning,27,M,Explosives
18–29,,No,Agra,,,1,IDENTITY THEFT,Violent Crime,,2020,Qtr 1,March,31,2020,Qtr 1,March,31,Tuesday,1,1,8,369,Within 24H,10,1899-12-30 00:10:00,Night,27,F,Knife
18–29,,No,Agra,,,1,IDENTITY THEFT,Violent Crime,,2021,Qtr 2,April,7,2021,Qtr 2,May,7,Wednesday,1,1,17,3172,After 24H,736,1899-12-30 13:47:00,Afternoon,26,M,None
18–29,,No,Agra,,,1,IDENTITY THEFT,Violent Crime,,2022,Qtr 4,October,7,2022,Qtr 4,October,7,Friday,1,1,14,7280,Within 24H,2,1899-12-30 16:46:00,Afternoon,25,M,Explosives
18–29,,No,Agra,,,1,IDENTITY THEFT,Violent Crime,,2022,Qtr 4,December,13,2022,Qtr 4,December,13,Tuesday,1,1,16,9453,Within 24H,18,1899-12-30 03:19:00,Night,27,F,Poison
18–29,,No,Agra,,,1,IDENTITY THEFT,Violent Crime,,2024,Qtr 1,January,1,2024,Qtr 1,March,1,Monday,1,1,2,14893,After 24H,1463,1899-12-30 21:45:00,Night,20,M,None
18–29,,No,Agra,,,1,ILLEGAL POSSESSION,Other Crime,,2020,Qtr 3,September,11,2020,Qtr 4,October,11,Friday,1,1,19,1349,After 24H,741,1899-12-30 17:28:00,Evening,28,F,None
18–29,,No,Agra,,,1,ILLEGAL POSSESSION,Other Crime,,2020,Qtr 3,September,14,2020,Qtr 3,September,15,Monday,1,1,15,1033,After 24H,34,1899-12-30 10:23:00,Morning,24,M,None
18–29,,No,Agra,,,1,ILLEGAL POSSESSION,Other Crime,,2024,Qtr 2,May,23,2024,Qtr 2,May,25,Thursday,1,1,14,16873,After 24H,48,1899-12-30 18:31:00,Evening,22,M,Poison
18–29,,No,Agra,,,1,PUBLIC INTOXICATION,Other Crime,,2022,Qtr 1,February,21,2022,Qtr 1,February,23,Monday,1,1,5,5640,After 24H,60,1899-12-30 16:13:00,Afternoon,24,F,Explosives
18–29,,No,Agra,,,1,PUBLIC INTOXICATION,Other Crime,,2024,Qtr 4,December,5,2024,Qtr 2,May,13,Thursday,1,1,17,16712,Within 24H,-4931,1899-12-30 10:28:00,Morning,25,F,Blunt Object
18–29,,No,Agra,,,1,ROBBERY,Violent Crime,,2020,Qtr 2,June,28,2020,Qtr 2,June,29,Sunday,1,1,9,748,After 24H,42,1899-12-30 14:57:00,Afternoon,24,F,Knife
18–29,,No,Agra,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2022,Qtr 4,November,18,2022,Qtr 4,November,19,Friday,1,1,9,9120,After 24H,45,1899-12-30 20:03:00,Evening,24,F,Blunt Object
18–29,,No,Agra,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 1,January,29,2023,Qtr 1,January,31,Sunday,1,1,2,10127,After 24H,49,1899-12-30 03:33:00,Night,24,F,Firearm
18–29,,No,Agra,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2024,Qtr 4,December,5,2024,Qtr 2,May,15,Thursday,1,1,5,16741,Within 24H,-4881,1899-12-30 23:09:00,Night,24,F,Explosives
18–29,,No,Agra,,,1,VEHICLE - STOLEN,Violent Crime,,2020,Qtr 2,April,7,2020,Qtr 2,April,7,Tuesday,1,1,11,771,Within 24H,8,1899-12-30 06:33:00,Morning,19,F,Knife
18–29,,No,Agra,,,1,VEHICLE - STOLEN,Violent Crime,,2020,Qtr 4,October,27,2020,Qtr 4,October,28,Tuesday,1,1,8,1267,After 24H,47,1899-12-30 09:10:00,Morning,19,F,None
18–29,,No,Agra,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 1,March,24,2022,Qtr 1,March,24,Thursday,1,1,15,5985,Within 24H,12,1899-12-30 05:10:00,Morning,20,M,Blunt Object
18–29,,No,Agra,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 4,October,30,2022,Qtr 4,October,30,Sunday,1,1,1,8842,Within 24H,23,1899-12-30 17:46:00,Evening,26,F,None
18–29,,No,Ahmedabad,,,1,ARSON,Fire Accident,,2023,Qtr 1,February,24,2023,Qtr 1,February,24,Friday,1,1,5,10488,Within 24H,21,1899-12-30 10:16:00,Morning,20,M,Firearm
18–29,,No,Ahmedabad,,,1,ARSON,Fire Accident,,2023,Qtr 4,November,23,2023,Qtr 4,November,25,Thursday,1,1,2,14352,After 24H,65,1899-12-30 22:11:00,Night,25,F,Blunt Object
18–29,,No,Ahmedabad,,,1,ASSAULT,Violent Crime,,2020,Qtr 1,January,13,2020,Qtr 1,January,14,Monday,1,1,1,46,After 24H,40,1899-12-30 06:07:00,Morning,21,M,Knife
18–29,,No,Ahmedabad,,,1,ASSAULT,Violent Crime,,2021,Qtr 4,October,19,2021,Qtr 4,October,20,Tuesday,1,1,13,4259,After 24H,25,1899-12-30 09:57:00,Morning,25,F,Poison
18–29,,No,Ahmedabad,,,1,ASSAULT,Violent Crime,,2023,Qtr 1,January,7,2023,Qtr 2,June,30,Saturday,1,1,9,12252,After 24H,4191,1899-12-30 11:27:00,Morning,22,F,Firearm
18–29,,No,Ahmedabad,,,1,BURGLARY,Other Crime,,2020,Qtr 1,February,9,2020,Qtr 1,February,9,Sunday,1,1,4,983,Within 24H,10,1899-12-30 01:31:00,Night,29,F,Knife
18–29,,No,Ahmedabad,,,1,BURGLARY,Other Crime,,2024,Qtr 2,June,6,2024,Qtr 3,July,6,Thursday,1,1,4,17062,After 24H,739,1899-12-30 07:05:00,Morning,25,F,Poison
18–29,,No,Ahmedabad,,,1,COUNTERFEITING,Other Crime,,2021,Qtr 1,February,21,2021,Qtr 1,February,20,Sunday,1,1,7,2021,Within 24H,-11,1899-12-30 02:44:00,Night,25,M,Knife
18–29,,No,Ahmedabad,,,1,COUNTERFEITING,Other Crime,,2022,Qtr 4,October,29,2022,Qtr 4,October,28,Saturday,1,1,10,8810,Within 24H,-1,1899-12-30 13:53:00,Afternoon,27,M,Firearm
18–29,,No,Ahmedabad,,,1,COUNTERFEITING,Other Crime,,2023,Qtr 2,April,4,2023,Qtr 2,May,4,Tuesday,1,1,6,11046,After 24H,733,1899-12-30 03:23:00,Night,21,M,Blunt Object
18–29,,No,Ahmedabad,,,1,COUNTERFEITING,Other Crime,,2023,Qtr 4,October,31,2023,Qtr 4,October,31,Tuesday,1,1,13,14002,Within 24H,22,1899-12-30 05:51:00,Morning,22,F,Other
18–29,,No,Ahmedabad,,,1,COUNTERFEITING,Other Crime,,2024,Qtr 1,February,29,2024,Qtr 1,February,3,Thursday,1,1,5,15713,Within 24H,-623,1899-12-30 23:08:00,Night,21,M,Poison
18–29,,No,Ahmedabad,,,1,CYBERCRIME,Other Crime,,2022,Qtr 1,January,3,2022,Qtr 1,March,3,Monday,1,1,11,5718,After 24H,1416,1899-12-30 14:26:00,Afternoon,28,M,Poison
18–29,,No,Ahmedabad,,,1,CYBERCRIME,Other Crime,,2023,Qtr 2,June,16,2023,Qtr 2,June,17,Friday,1,1,11,12065,After 24H,27,1899-12-30 21:07:00,Night,28,F,Blunt Object
18–29,,No,Ahmedabad,,,1,CYBERCRIME,Other Crime,,2023,Qtr 4,November,25,2023,Qtr 4,November,25,Saturday,1,1,16,14353,Within 24H,18,1899-12-30 01:23:00,Night,23,F,Blunt Object
18–29,,No,Ahmedabad,,,1,CYBERCRIME,Other Crime,,2024,Qtr 2,April,3,2024,Qtr 2,May,3,Wednesday,1,1,5,15768,After 24H,742,1899-12-30 22:39:00,Night,23,F,Poison
18–29,,No,Ahmedabad,,,1,CYBERCRIME,Other Crime,,2024,Qtr 2,May,30,2024,Qtr 1,January,6,Thursday,1,1,13,16962,Within 24H,-3479,1899-12-30 15:51:00,Afternoon,25,M,Firearm
18–29,,No,Ahmedabad,,,1,DOMESTIC VIOLENCE,Violent Crime,,2022,Qtr 2,May,9,2022,Qtr 3,July,9,Monday,1,1,14,8091,After 24H,1477,1899-12-30 10:18:00,Morning,25,F,Firearm
18–29,,No,Ahmedabad,,,1,DOMESTIC VIOLENCE,Violent Crime,,2022,Qtr 4,December,14,2022,Qtr 4,December,16,Wednesday,1,1,10,9492,After 24H,57,1899-12-30 19:09:00,Evening,27,M,Firearm
18–29,,No,Ahmedabad,,,1,DOMESTIC VIOLENCE,Violent Crime,,2023,Qtr 3,September,14,2023,Qtr 3,September,14,Thursday,1,1,17,13346,Within 24H,21,1899-12-30 14:48:00,Afternoon,21,M,Firearm
18–29,,No,Ahmedabad,,,1,DRUG OFFENSE,Other Crime,,2021,Qtr 1,January,3,2021,Qtr 1,March,3,Sunday,1,1,12,2110,After 24H,1416,1899-12-30 19:47:00,Evening,27,F,None
18–29,,No,Ahmedabad,,,1,DRUG OFFENSE,Other Crime,,2022,Qtr 4,October,8,2022,Qtr 4,November,8,Saturday,1,1,14,7722,After 24H,745,1899-12-30 10:09:00,Morning,27,F,Firearm
18–29,,No,Ahmedabad,,,1,DRUG OFFENSE,Other Crime,,2023,Qtr 2,June,25,2023,Qtr 2,June,27,Sunday,1,1,14,12209,After 24H,70,1899-12-30 19:48:00,Evening,18,F,None
18–29,,No,Ahmedabad,,,1,EXTORTION,Other Crime,,2022,Qtr 2,May,2,2022,Qtr 3,July,2,Monday,1,1,6,5459,After 24H,1482,1899-12-30 23:23:00,Night,21,M,Explosives
18–29,,No,Ahmedabad,,,1,EXTORTION,Other Crime,,2023,Qtr 4,November,18,2023,Qtr 4,November,20,Saturday,1,1,14,14279,After 24H,62,1899-12-30 22:51:00,Night,25,F,Other
18–29,,No,Ahmedabad,,,1,FIREARM OFFENSE,Fire Accident,,2020,Qtr 1,March,11,2020,Qtr 2,April,11,Wednesday,1,1,10,1316,After 24H,766,1899-12-30 05:19:00,Morning,19,F,Knife
18–29,,No,Ahmedabad,,,1,FIREARM OFFENSE,Fire Accident,,2021,Qtr 4,December,6,2021,Qtr 2,June,15,Monday,1,1,1,2970,Within 24H,-4171,1899-12-30 17:36:00,Evening,28,F,Knife
18–29,,No,Ahmedabad,,,1,FIREARM OFFENSE,Fire Accident,,2022,Qtr 3,July,28,2022,Qtr 3,July,28,Thursday,1,1,14,7539,Within 24H,12,1899-12-30 01:06:00,Night,21,F,Explosives
18–29,,No,Ahmedabad,,,1,FIREARM OFFENSE,Fire Accident,,2022,Qtr 4,November,20,2022,Qtr 4,November,19,Sunday,1,1,3,9119,Within 24H,-4,1899-12-30 05:50:00,Morning,23,F,Knife
18–29,,No,Ahmedabad,,,1,FIREARM OFFENSE,Fire Accident,,2023,Qtr 4,December,8,2023,Qtr 4,December,8,Friday,1,1,7,12877,Within 24H,16,1899-12-30 22:21:00,Night,24,F,Poison
